"ResponseId","Response","J_WorkerId","J_Gender","J_Literacy","J_Age","Empathy","R_WorkerId","R_Gender","R_Literacy","R_Age","Treatment","ConversationId","Precision","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X0","Round"
"15","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Wasn't me, man.","A1VUPS40S92LHD","female","native","26-35",2,"A3PYFNAED6X1BL","female","native","26-35","0","4","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"16","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I am so sorry.","A2314OA8ZBDRTV","male","native","26-35",2,"A3SG23IVI6PS0L","female","native","26-35","0","2","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"17","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I am so sorry.","A19CKDMMK8Z6QC","male","native","18-25",2,"A3SG23IVI6PS0L","female","native","26-35","0","2","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"18","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I am so sorry.","APEB5ERGCYP6D","male","profession","26-35",3,"A3SG23IVI6PS0L","female","native","26-35","0","2","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"19","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","K. is not an answer.","AM0WOQRVW5NSI","male","native","36-45",2,"A3SG23IVI6PS0L","female","native","26-35","0","8","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"20","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","K. is not an answer.","A3ERAC9ADCIAOW","male","native","18-25",1,"A3SG23IVI6PS0L","female","native","26-35","0","8","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"21","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","K. is not an answer.","A1T02KY1E9YI3I","male","profession","26-35",2,"A3SG23IVI6PS0L","female","native","26-35","0","8","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"22","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I would be happy to help you.","APEB5ERGCYP6D","male","profession","26-35",3,"A3SG23IVI6PS0L","female","native","26-35","0","9","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"23","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I would be happy to help you.","ASZFG2YOQA71C","male","native","18-25",4,"A3SG23IVI6PS0L","female","native","26-35","0","9","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"24","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I would be happy to help you.","AKXY2ATEM5DC2","male","native","36-45",4,"A3SG23IVI6PS0L","female","native","26-35","0","9","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"25","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I don't know what to tell you...","A1XCX1KI3XRPRZ","female","profession","18-25",2,"A3PYFNAED6X1BL","female","native","26-35","1","5","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"26","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I don't know what to tell you...","A1YSYRDAYFLP0H","female","native","36-45",1,"A3PYFNAED6X1BL","female","native","26-35","1","5","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"27","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I don't know what to tell you...","A1OK974KXKO6FJ","male","native","36-45",2,"A3PYFNAED6X1BL","female","native","26-35","1","5","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"28","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. I was just trying to make a joke about you being a fashion leader or something...guess that didn't work too well.","A1OSRB1Q63XXWZ","female","native","56-65",1,"A3PYFNAED6X1BL","female","native","26-35","1","6","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"29","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. I was just trying to make a joke about you being a fashion leader or something...guess that didn't work too well.","A2J7GCLIVCZWH8","female","native","18-25",3,"A3PYFNAED6X1BL","female","native","26-35","1","6","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"30","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. I was just trying to make a joke about you being a fashion leader or something...guess that didn't work too well.","A3PJ51GS2AKBO6","male","native","26-35",3,"A3PYFNAED6X1BL","female","native","26-35","1","6","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"31","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I am so sorry to hear that!","ALT9B8II7LQ5S","female","native","26-35",5,"A3SG23IVI6PS0L","female","native","26-35","0","2","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"32","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I am so sorry to hear that!","A1909MOQZUXZZ5","female","native","26-35",4,"A3SG23IVI6PS0L","female","native","26-35","0","2","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"33","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I am so sorry to hear that!","A2GJM9IM6XR7ON","male","profession","26-35",3,"A3SG23IVI6PS0L","female","native","26-35","0","2","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"34","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Oh. Hell. I'm really sorry to hear that.","ACDX50KGPE97I","male","native","26-35",5,"A3PYFNAED6X1BL","female","native","26-35","1","7","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"35","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Oh. Hell. I'm really sorry to hear that.","APEB5ERGCYP6D","male","profession","26-35",4,"A3PYFNAED6X1BL","female","native","26-35","1","7","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"36","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Oh. Hell. I'm really sorry to hear that.","A1XSX19SIQ9U4W","female","native","56-65",4,"A3PYFNAED6X1BL","female","native","26-35","1","7","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"37","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I will hurry.","ALT9B8II7LQ5S","female","native","26-35",5,"A3SG23IVI6PS0L","female","native","26-35","1","11","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"38","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I will hurry.","A1V9MN88VQ1LEB","male","profession","26-35",5,"A3SG23IVI6PS0L","female","native","26-35","1","11","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"39","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I will hurry.","ACDX50KGPE97I","male","native","26-35",2,"A3SG23IVI6PS0L","female","native","26-35","1","11","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"40","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I'm catching an uber. Be there soon.","A1XSX19SIQ9U4W","female","native","56-65",4,"A3PYFNAED6X1BL","female","native","26-35","0","8","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"41","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I'm catching an uber. Be there soon.","ASZFG2YOQA71C","male","native","18-25",3,"A3PYFNAED6X1BL","female","native","26-35","0","8","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"42","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I'm catching an uber. Be there soon.","A39PQOGN8NIWNA","male","profession","26-35",4,"A3PYFNAED6X1BL","female","native","26-35","0","8","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"43","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry, I didn't see your message immediately. What did you need?","APEB5ERGCYP6D","male","profession","26-35",3,"A3PYFNAED6X1BL","female","native","26-35","0","9","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"44","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry, I didn't see your message immediately. What did you need?","AM0WOQRVW5NSI","male","native","36-45",4,"A3PYFNAED6X1BL","female","native","26-35","0","9","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"45","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry, I didn't see your message immediately. What did you need?","AS7IGPU2RHT6I","female","native","26-35",4,"A3PYFNAED6X1BL","female","native","26-35","0","9","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"46","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I am sorry, I have a lot going on right now.","A1T02KY1E9YI3I","male","profession","26-35",4,"A3SG23IVI6PS0L","female","native","26-35","1","12","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"47","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I am sorry, I have a lot going on right now.","AM0WOQRVW5NSI","male","native","36-45",4,"A3SG23IVI6PS0L","female","native","26-35","1","12","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"48","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I am sorry, I have a lot going on right now.","APEB5ERGCYP6D","male","profession","26-35",3,"A3SG23IVI6PS0L","female","native","26-35","1","12","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"49","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Well...than the umbrella probably wouldn't have helped, right?","A3IHT9LDUJNP3E","male","profession","26-35",2,"A3PYFNAED6X1BL","female","native","26-35","1","10","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"50","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Well...than the umbrella probably wouldn't have helped, right?","APEB5ERGCYP6D","male","profession","26-35",3,"A3PYFNAED6X1BL","female","native","26-35","1","10","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"51","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Well...than the umbrella probably wouldn't have helped, right?","ACDX50KGPE97I","male","native","26-35",1,"A3PYFNAED6X1BL","female","native","26-35","1","10","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"52","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I agree, what should we do?","A19CKDMMK8Z6QC","male","native","18-25",4,"A3SG23IVI6PS0L","female","native","26-35","0","13","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"53","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I agree, what should we do?","A2T5DC2TXEEMBV","male","profession","18-25",3,"A3SG23IVI6PS0L","female","native","26-35","0","13","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"54","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","I agree, what should we do?","ACDX50KGPE97I","male","native","26-35",3,"A3SG23IVI6PS0L","female","native","26-35","0","13","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"55","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","They'll be fine. Again, really sorry!","ASZFG2YOQA71C","male","native","18-25",4,"A3PYFNAED6X1BL","female","native","26-35","1","11","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"56","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","They'll be fine. Again, really sorry!","A19KWRLD7P57VJ","male","native","26-35",5,"A3PYFNAED6X1BL","female","native","26-35","1","11","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"57","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","They'll be fine. Again, really sorry!","APEB5ERGCYP6D","male","profession","26-35",3,"A3PYFNAED6X1BL","female","native","26-35","1","11","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"58","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I've kind of got a lot on my mind recently.","APEB5ERGCYP6D","male","profession","26-35",2,"A3PYFNAED6X1BL","female","native","26-35","1","12","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"59","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I've kind of got a lot on my mind recently.","A199ECPSCLODO6","female","native","18-25",2,"A3PYFNAED6X1BL","female","native","26-35","1","12","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"60","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I've kind of got a lot on my mind recently.","A3PJ51GS2AKBO6","male","native","26-35",2,"A3PYFNAED6X1BL","female","native","26-35","1","12","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"61","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","Great!","A1OSRB1Q63XXWZ","female","native","56-65",2,"A3SG23IVI6PS0L","female","native","26-35","0","14","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"62","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","Great!","A1V9MN88VQ1LEB","male","profession","26-35",5,"A3SG23IVI6PS0L","female","native","26-35","0","14","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"63","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","Great!","A3IHT9LDUJNP3E","male","profession","26-35",4,"A3SG23IVI6PS0L","female","native","26-35","0","14","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"64","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","That is a good plan. I hope you find them.","AKXY2ATEM5DC2","male","native","36-45",3,"A3SG23IVI6PS0L","female","native","26-35","1","15","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"65","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","That is a good plan. I hope you find them.","A3PJ51GS2AKBO6","male","native","26-35",4,"A3SG23IVI6PS0L","female","native","26-35","1","15","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"66","3ZSANO2JCG3WRNCXCTPMTUFXMVAFSG","That is a good plan. I hope you find them.","APEB5ERGCYP6D","male","profession","26-35",2,"A3SG23IVI6PS0L","female","native","26-35","1","15","0.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"67","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What do you want to do?","A1HYMGPYXU97ZN","male","native","18-25",3,"A3PYFNAED6X1BL","female","native","26-35","1","13","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"68","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What do you want to do?","A39PQOGN8NIWNA","male","profession","26-35",3,"A3PYFNAED6X1BL","female","native","26-35","1","13","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"69","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What do you want to do?","A2T5DC2TXEEMBV","male","profession","18-25",3,"A3PYFNAED6X1BL","female","native","26-35","1","13","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"70","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Ok. See you then.","A37PO5YNKE5D97","female","native","26-35",2,"A3PYFNAED6X1BL","female","native","26-35","0","14","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"71","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Ok. See you then.","AS7IGPU2RHT6I","female","native","26-35",5,"A3PYFNAED6X1BL","female","native","26-35","0","14","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"72","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Ok. See you then.","APEB5ERGCYP6D","male","profession","26-35",3,"A3PYFNAED6X1BL","female","native","26-35","0","14","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"73","3WS1NTTKEZ8WQESL3R62JO9ER3J0F6","i'll help you clean it when i get home.","A3IHT9LDUJNP3E","male","profession","26-35",4,"A267GLM78AMQ75","male","native","26-35","1","1","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"74","3WS1NTTKEZ8WQESL3R62JO9ER3J0F6","i'll help you clean it when i get home.","A19KWRLD7P57VJ","male","native","26-35",4,"A267GLM78AMQ75","male","native","26-35","1","1","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"75","3WS1NTTKEZ8WQESL3R62JO9ER3J0F6","i'll help you clean it when i get home.","APEB5ERGCYP6D","male","profession","26-35",3,"A267GLM78AMQ75","male","native","26-35","1","1","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"76","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Is there anything I can do to help?","A1OK974KXKO6FJ","male","native","36-45",5,"A3PYFNAED6X1BL","female","native","26-35","1","15","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"77","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Is there anything I can do to help?","A1OSRB1Q63XXWZ","female","native","56-65",3,"A3PYFNAED6X1BL","female","native","26-35","1","15","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"78","3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Is there anything I can do to help?","A1T02KY1E9YI3I","male","profession","26-35",2,"A3PYFNAED6X1BL","female","native","26-35","1","15","0.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"79","3WS1NTTKEZ8WQESL3R62JO9ER3J0F6","sorry mom, i'll take care of it","A3UUH3632AI3ZX","female","native","26-35",4,"A267GLM78AMQ75","male","native","26-35","1","2","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"80","3WS1NTTKEZ8WQESL3R62JO9ER3J0F6","sorry mom, i'll take care of it","A3PJ51GS2AKBO6","male","native","26-35",3,"A267GLM78AMQ75","male","native","26-35","1","2","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"81","3WS1NTTKEZ8WQESL3R62JO9ER3J0F6","sorry mom, i'll take care of it","ACDX50KGPE97I","male","native","26-35",3,"A267GLM78AMQ75","male","native","26-35","1","2","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
